unsat-epsilon,sat-epsilon,original-prediction,second-best-prediction
90.0604248046875,90.069580078125,"[4 7 9 5]","[8 2 6 2]"
70.367431640625,70.3765869140625,"[1 0 5 5]","[3 3 9 9]"
83.642578125,83.6517333984375,"[1 8 3 8]","[4 3 9 3]"
106.768798828125,106.7779541015625,"[7 3 8 1]","[6 9 3 4]"
85.87646484375,85.8856201171875,"[7 0 3 1]","[2 2 9 3]"
114.971923828125,114.9810791015625,"[0 8 4 3]","[2 3 8 9]"
74.37744140625,74.3865966796875,"[8 4 4 9]","[5 3 3 2]"
124.32861328125,124.3377685546875,"[9 4 5 8]","[2 5 9 3]"
108.80126953125,108.8104248046875,"[3 6 8 7]","[4 1 3 2]"
106.3934326171875,106.402587890625,"[8 9 2 3]","[3 2 5 4]"
